".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"p"	"p.adj"	"p.adj.signif"	"p.adj.formatted"
"values"	"WT"	"(GA)n_mut2"	387	362	-10.3185193347788	5.81123932964407e-25	6.97348719557289e-25	"****"	"6.97e-25"
"values"	"WT"	"(GA)n_mut4"	387	305	-15.2886778937804	9.09783786414859e-53	1.81956757282972e-52	"****"	"1.82e-52"
"values"	"WT"	"(GA)n_mut6"	387	230	-27.1673344657137	1.58027214616403e-162	9.4816328769842e-162	"****"	"9.48e-162"
"values"	"(GA)n_mut2"	"(GA)n_mut4"	362	305	-5.35406844147639	8.59983070952712e-08	8.59983070952712e-08	"****"	"8.6e-08"
"values"	"(GA)n_mut2"	"(GA)n_mut6"	362	230	-17.8766624922584	1.79251234791568e-71	5.37753704374705e-71	"****"	"5.38e-71"
"values"	"(GA)n_mut4"	"(GA)n_mut6"	305	230	-12.4958204515253	7.86803656604065e-36	1.1802054849061e-35	"****"	"1.18e-35"
