".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"p"	"p.adj"	"p.adj.signif"	"p.adj.formatted"
"values"	"WT"	"(GA)n_mut2"	304	287	3.04384783222094	0.00233573251596242	0.0028028790191549	"**"	"0.0028"
"values"	"WT"	"(GA)n_mut4"	304	282	3.32484709643689	0.000884670381428957	0.00132700557214344	"**"	"0.00133"
"values"	"WT"	"(GA)n_mut6"	304	292	-3.72568967043303	0.000194781923667188	0.000389563847334376	"***"	"0.00039"
"values"	"(GA)n_mut2"	"(GA)n_mut4"	287	282	0.290671705216027	0.771302413622915	0.771302413622915	"ns"	"0.771"
"values"	"(GA)n_mut2"	"(GA)n_mut6"	287	292	-6.68670018118882	2.28258844743443e-11	6.8477653423033e-11	"****"	"6.85e-11"
"values"	"(GA)n_mut4"	"(GA)n_mut6"	282	292	-6.94891659634369	3.68102076794478e-12	2.20861246076687e-11	"****"	"2.21e-11"
