".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"p"	"p.adj"	"p.adj.signif"	"p.adj.formatted"
"values"	"WT"	"DPRE2"	172	38	-8.95032548744755	3.5443569831808e-19	7.0887139663616e-19	"****"	"7.09e-19"
"values"	"WT"	"Hsp26"	172	70	-11.5780843591883	5.32220798297175e-31	3.19332478978305e-30	"****"	"3.19e-30"
"values"	"WT"	"Hsp26+3xPHO"	172	26	-10.2208017377562	1.60011918128114e-24	4.80035754384343e-24	"****"	"4.8e-24"
"values"	"DPRE2"	"Hsp26"	38	70	-0.184308447926488	0.853771486970087	0.853771486970087	"ns"	"0.854"
"values"	"DPRE2"	"Hsp26+3xPHO"	38	26	-2.14648146839583	0.0318345857157173	0.0382015028588607	"*"	"0.0382"
"values"	"Hsp26"	"Hsp26+3xPHO"	70	26	-2.2169925000655	0.0266236040419571	0.0382015028588607	"*"	"0.0382"
